Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,66.120003,67.059998,66.120003,67.059998,67.059998,0
2020-04-20,66.730003,67.080002,65.989998,67.080002,67.080002,0
2020-04-21,65.660004,65.760002,64.389999,64.580002,64.580002,0
2020-04-22,65.059998,65.160004,64.900002,65.070000,65.070000,0
2020-04-23,65.769997,65.820000,65.449997,65.820000,65.820000,0
2020-04-24,64.570000,65.239998,64.570000,65.239998,65.239998,0
2020-04-27,66.209999,66.419998,65.949997,66.419998,66.419998,0
2020-04-28,66.330002,67.910004,66.330002,67.169998,67.169998,0
2020-04-29,67.440002,69.220001,67.440002,69.220001,69.220001,0
2020-04-30,69.410004,69.410004,67.629997,67.629997,67.629997,0
2020-05-04,64.820000,65.559998,64.820000,65.199997,65.199997,0
2020-05-05,65.889999,66.389999,65.889999,66.279999,66.279999,0
2020-05-06,65.989998,66.419998,65.989998,66.000000,66.000000,150
2020-05-07,65.790001,66.320000,65.790001,66.320000,66.320000,0
2020-05-08,67.290001,67.480003,67.220001,67.269997,67.269997,0
2020-05-11,67.519997,67.800003,66.589996,67.080002,67.080002,22
2020-05-12,66.269997,66.680000,66.269997,66.650002,66.650002,0
2020-05-13,65.430000,65.550003,65.029999,65.029999,65.029999,0
2020-05-14,63.810001,63.820000,63.230000,63.650002,63.650002,16
2020-05-15,63.830002,63.930000,63.830002,63.930000,63.930000,0
2020-05-18,64.250000,67.070000,64.250000,67.070000,67.070000,0
2020-05-19,67.070000,67.070000,65.839996,66.239998,66.239998,0
2020-05-20,65.889999,66.589996,65.889999,66.589996,66.589996,0
2020-05-21,66.150002,66.790001,65.989998,66.790001,66.790001,0
2020-05-22,65.339996,66.419998,65.160004,66.309998,66.309998,0
2020-05-25,66.760002,67.269997,66.419998,67.269997,67.269997,0
2020-05-26,68.080002,68.750000,68.080002,68.610001,68.610001,10
2020-05-27,68.730003,69.930000,68.730003,69.690002,69.690002,0
2020-05-28,70.330002,70.989998,70.059998,70.989998,70.989998,0
2020-05-29,70.230003,70.379997,69.930000,70.029999,70.029999,0
2020-06-01,70.029999,70.029999,70.029999,70.029999,70.029999,0
2020-06-02,71.220001,72.389999,71.220001,72.389999,72.389999,0
2020-06-03,73.029999,74.599998,73.029999,74.529999,74.529999,0
2020-06-04,74.260002,74.690002,74.220001,74.239998,74.239998,0
2020-06-05,75.269997,77.019997,75.269997,76.879997,76.879997,0
2020-06-08,76.639999,77.449997,76.639999,77.059998,77.059998,0
2020-06-09,77.260002,77.279999,75.480003,75.849998,75.849998,0
2020-06-10,76.250000,76.620003,75.250000,75.360001,75.360001,0
2020-06-11,73.279999,73.510002,71.150002,71.150002,71.150002,0
2020-06-12,71.349998,72.959999,71.349998,71.470001,71.470001,0
2020-06-15,70.330002,71.459999,70.320000,71.459999,71.459999,0
2020-06-16,73.760002,74.209999,72.889999,73.940002,73.940002,0
2020-06-17,73.739998,74.699997,73.739998,74.500000,74.500000,0
2020-06-18,73.760002,74.110001,73.510002,73.510002,73.510002,0
2020-06-19,73.980003,74.769997,73.980003,74.769997,74.769997,0
2020-06-22,72.970001,74.029999,72.970001,74.029999,74.029999,0
2020-06-23,73.989998,74.980003,73.989998,74.680000,74.680000,0
2020-06-24,74.349998,74.389999,73.290001,73.300003,73.300003,0
2020-06-25,72.559998,73.110001,71.620003,72.930000,72.930000,0
2020-06-26,74.000000,74.760002,73.599998,74.230003,74.230003,0
2020-06-29,72.919998,74.120003,72.879997,73.889999,73.889999,7631
2020-06-30,74.019997,74.040001,73.250000,73.669998,73.669998,23098
2020-07-01,73.790001,74.000000,72.500000,73.559998,73.559998,20125
2020-07-02,74.150002,75.699997,74.150002,75.419998,75.419998,63634
2020-07-03,null,null,null,null,null,null
2020-07-06,null,null,null,null,null,null
2020-07-07,null,null,null,null,null,null
2020-07-08,74.919998,75.510002,74.500000,74.639999,74.639999,8503
2020-07-09,75.050003,75.050003,74.629997,74.629997,74.629997,0
2020-07-10,73.410004,74.599998,73.410004,74.599998,74.599998,0
2020-07-13,75.290001,75.750000,74.910004,75.750000,75.750000,0
2020-07-14,74.699997,74.889999,74.250000,74.889999,74.889999,0
2020-07-15,75.809998,76.989998,75.730003,76.529999,76.529999,0
2020-07-16,76.129997,76.510002,75.889999,76.360001,76.360001,4
2020-07-17,76.370003,76.370003,75.800003,75.940002,75.940002,0
2020-07-20,75.930000,76.349998,75.510002,76.300003,76.300003,0
2020-07-21,76.919998,77.379997,76.169998,76.300003,76.300003,0
2020-07-22,76.199997,76.419998,75.540001,75.540001,75.540001,0
2020-07-23,75.900002,76.089996,75.610001,75.610001,75.610001,0
2020-07-24,74.580002,74.580002,74.150002,74.150002,74.150002,0
2020-07-27,74.239998,74.239998,73.910004,74.110001,74.110001,0
2020-07-28,73.989998,73.989998,73.419998,73.919998,73.919998,0
2020-07-29,74.279999,74.599998,74.279999,74.500000,74.500000,0
2020-07-30,74.430000,74.430000,72.730003,73.110001,73.110001,0
2020-07-31,72.760002,73.190002,72.089996,72.089996,72.089996,9
2020-08-03,71.889999,71.889999,71.790001,71.790001,71.790001,0
2020-08-04,73.309998,73.510002,73.160004,73.349998,73.349998,0
2020-08-05,73.400002,73.959999,73.400002,73.599998,73.599998,0
2020-08-06,73.540001,74.080002,73.080002,73.080002,73.080002,0
2020-08-07,73.150002,73.339996,72.769997,73.129997,73.129997,0
2020-08-10,73.650002,73.809998,73.500000,73.610001,73.610001,0
2020-08-11,74.180000,75.650002,74.180000,75.400002,75.400002,0
2020-08-12,74.879997,76.279999,74.879997,76.279999,76.279999,0
2020-08-13,75.639999,75.980003,75.589996,75.720001,75.720001,0
2020-08-14,75.519997,75.519997,73.839996,74.199997,74.199997,0
2020-08-17,74.290001,74.680000,74.269997,74.489998,74.489998,0
2020-08-18,74.279999,74.889999,73.910004,74.010002,74.010002,0
2020-08-19,74.059998,74.360001,74.059998,74.360001,74.360001,0
2020-08-20,73.510002,73.800003,73.510002,73.610001,73.610001,0
2020-08-21,73.820000,73.830002,72.730003,73.290001,73.290001,0
2020-08-24,73.290001,73.290001,73.290001,73.290001,73.290001,0
2020-08-25,73.290001,73.290001,73.290001,73.290001,73.290001,0
2020-08-26,73.290001,73.290001,73.290001,73.290001,73.290001,0
2020-08-27,75.570000,75.660004,75.180000,75.660004,75.660004,150
2020-08-28,75.419998,75.419998,74.690002,75.129997,75.129997,5
2020-08-31,75.690002,75.860001,74.150002,74.169998,74.169998,1580
2020-09-01,74.570000,74.629997,73.610001,73.830002,73.830002,0
2020-09-02,74.540001,75.839996,74.540001,75.830002,75.830002,0
2020-09-03,75.839996,76.860001,74.709999,74.709999,74.709999,0
2020-09-04,74.910004,75.919998,74.120003,74.930000,74.930000,0
2020-09-07,75.792702,75.792702,75.792702,75.792702,75.792702,0
2020-09-08,76.059998,76.059998,74.309998,74.750000,74.750000,0
2020-09-09,74.349998,75.449997,74.190002,75.059998,75.059998,0
2020-09-10,75.980003,75.980003,75.080002,75.080002,75.080002,0
2020-09-11,75.239998,75.720001,75.070000,75.349998,75.349998,0
2020-09-14,75.970001,76.209999,75.559998,75.599998,75.599998,0
2020-09-15,75.830002,76.300003,75.709999,76.190002,76.190002,0
2020-09-16,75.989998,76.190002,75.849998,75.949997,75.949997,0
2020-09-17,75.019997,75.750000,74.959999,75.489998,75.489998,0
2020-09-18,75.709999,75.709999,75.129997,75.129997,75.129997,0
2020-09-21,74.080002,74.120003,71.760002,72.010002,72.010002,35951
2020-09-22,72.320000,72.489998,71.750000,71.750000,71.750000,28119
2020-09-23,72.379997,73.139999,72.169998,72.169998,72.169998,6066
2020-09-24,71.370003,72.209999,71.260002,71.529999,71.529999,38757
2020-09-25,null,null,null,null,null,null
2020-09-28,72.199997,72.940002,72.190002,72.900002,72.900002,13554
2020-09-29,72.879997,72.879997,72.440002,72.639999,72.639999,0
2020-09-30,72.059998,72.629997,72.059998,72.629997,72.629997,0
2020-10-01,72.730003,73.230003,72.510002,72.540001,72.540001,0
2020-10-02,71.580002,72.239998,71.580002,71.980003,71.980003,0
2020-10-05,73.300003,73.400002,72.910004,73.279999,73.279999,5627
2020-10-06,73.419998,74.050003,73.000000,73.660004,73.660004,90680
2020-10-07,73.720001,73.900002,73.269997,73.440002,73.440002,12105
2020-10-08,73.989998,74.239998,73.389999,73.980003,73.980003,17085
2020-10-09,73.989998,74.370003,73.989998,74.370003,74.370003,0
2020-10-12,74.519997,75.260002,74.419998,75.000000,75.000000,6638
2020-10-13,74.809998,74.830002,74.209999,74.419998,74.419998,17582
2020-10-14,74.419998,74.730003,74.199997,74.360001,74.360001,4942
2020-10-15,73.400002,73.400002,72.419998,72.820000,72.820000,9177
2020-10-16,73.120003,74.500000,73.120003,74.500000,74.500000,0
2020-10-19,74.989998,75.070000,74.129997,74.309998,74.309998,2122
2020-10-20,74.160004,74.739998,73.849998,74.180000,74.180000,18128
2020-10-21,74.239998,74.239998,73.000000,73.070000,73.070000,10981
2020-10-22,72.400002,73.320000,72.000000,73.139999,73.139999,7620
2020-10-23,73.019997,74.169998,73.019997,73.690002,73.690002,0
2020-10-26,72.889999,73.639999,72.459999,72.459999,72.459999,8277
2020-10-27,72.239998,72.239998,71.089996,71.209999,71.209999,8000
2020-10-28,69.709999,69.709999,68.110001,68.800003,68.800003,47058
2020-10-29,69.099998,69.309998,67.879997,68.839996,68.839996,20126
2020-10-30,67.790001,69.010002,67.790001,68.900002,68.900002,0
2020-11-02,69.209999,70.860001,68.930000,70.650002,70.650002,13937
2020-11-03,71.379997,72.419998,71.379997,72.379997,72.379997,17026
2020-11-04,71.360001,74.160004,71.360001,74.160004,74.160004,52847
2020-11-05,74.709999,75.190002,74.379997,75.059998,75.059998,31338
2020-11-06,74.480003,74.970001,73.970001,74.540001,74.540001,0
2020-11-09,75.519997,81.010002,75.519997,80.190002,80.190002,143385
2020-11-10,80.550003,81.800003,80.190002,81.510002,81.510002,66643
2020-11-11,81.949997,82.160004,81.320000,81.889999,81.889999,10861
2020-11-12,81.160004,81.489998,80.410004,80.629997,80.629997,17690
2020-11-13,80.190002,81.029999,80.190002,80.940002,80.940002,0
2020-11-16,81.669998,82.980003,81.330002,82.370003,82.370003,107685
2020-11-17,82.339996,82.459999,81.839996,82.459999,82.459999,43816
2020-11-18,82.099998,82.959999,81.919998,82.839996,82.839996,27089
2020-11-19,82.379997,82.459999,82.000000,82.309998,82.309998,22441
2020-11-20,82.220001,82.629997,82.220001,82.570000,82.570000,0
2020-11-23,83.260002,83.500000,82.660004,82.660004,82.660004,31178
2020-11-24,83.410004,83.800003,83.320000,83.519997,83.519997,11473
2020-11-25,83.970001,84.000000,83.330002,83.709999,83.709999,23868
2020-11-26,null,null,null,null,null,null
2020-11-27,83.629997,84.320000,83.599998,84.190002,84.190002,32
2020-11-30,83.580002,84.160004,82.940002,82.940002,82.940002,9117
2020-12-01,83.871803,83.871803,83.871803,83.871803,83.871803,0
2020-12-02,83.709999,83.989998,83.459999,83.919998,83.919998,14455
2020-12-03,83.860001,83.860001,83.410004,83.849998,83.849998,5854
2020-12-04,83.669998,84.239998,83.669998,84.209999,84.209999,0
2020-12-07,84.080002,84.080002,83.300003,83.839996,83.839996,1634
2020-12-08,83.570000,83.839996,83.070000,83.589996,83.589996,8662
2020-12-09,84.019997,84.239998,83.449997,83.459999,83.459999,9130
2020-12-10,83.660004,83.849998,82.980003,83.599998,83.599998,21168
2020-12-11,83.260002,83.260002,83.260002,83.260002,83.260002,0
2020-12-14,83.629997,83.870003,83.160004,83.160004,83.160004,3410
2020-12-15,83.190002,83.739998,83.190002,83.220001,83.220001,1035
2020-12-16,83.620003,84.139999,82.940002,83.500000,83.500000,20049
2020-12-17,84.040001,84.040001,83.449997,83.449997,83.449997,3365
2020-12-18,83.209999,83.279999,82.949997,83.010002,83.010002,0
2020-12-21,81.089996,81.489998,80.000000,81.349998,81.349998,232314
2020-12-22,81.709999,82.389999,81.709999,82.360001,82.360001,8773
2020-12-23,82.480003,83.330002,82.000000,83.250000,83.250000,68117
2020-12-24,83.419998,83.550003,82.930000,83.139999,83.139999,32892
2020-12-28,83.849998,84.290001,83.410004,84.160004,84.160004,20640
2020-12-29,84.440002,84.680000,84.320000,84.449997,84.449997,20668
2020-12-30,84.489998,84.699997,84.300003,84.339996,84.339996,3829
